,hand_idx,pos_idx,hand_num_1,hand_suit_1,hand_num_2,hand_suit_2,board_num_1,board_suit_1,board_num_2,board_suit_2,board_num_3,board_suit_3,board_num_4,board_suit_4,board_num_5,board_suit_5,stage,current_stack,pot,action_type,action_value,current_bet,num_active_players,net_stack
0,0,0,J,d,A,s,_,_,_,_,_,_,_,_,_,_,PREFLOP,99980,50,player_1,CHECK,0,2,-20
1,0,0,J,d,A,s,_,_,_,_,_,_,_,_,_,_,PREFLOP,99980,29431.32932932002,player_1,FOLD,29381.32932932002,1,-20
2,1,0,9,h,K,d,_,_,_,_,_,_,_,_,_,_,PREFLOP,99930,50,player_1,RAISE,0,2,10.0
3,2,0,T,s,Q,c,_,_,_,_,_,_,_,_,_,_,PREFLOP,99950.0,50,player_1,RAISE,0,2,-40.0
4,2,0,T,s,Q,c,_,_,_,_,_,_,_,_,_,_,PREFLOP,99950.0,90589.6239302436,player_1,FOLD,90519.6239302436,1,-40.0
5,3,0,8,h,9,d,_,_,_,_,_,_,_,_,_,_,PREFLOP,99920.0,41736.665658526275,player_1,FOLD,41686.665658526275,1,-30.0
6,4,0,6,h,T,s,_,_,_,_,_,_,_,_,_,_,PREFLOP,99900.0,50,player_1,CHECK,0,2,30.0
7,4,0,6,h,T,s,9,h,J,d,7,c,_,_,_,_,FLOP,99880.0,50,player_1,RAISE,0,2,30.0
8,5,0,4,c,7,c,_,_,_,_,_,_,_,_,_,_,PREFLOP,99900.0,50,player_1,RAISE,0,2,10.0
9,6,0,7,d,7,c,_,_,_,_,_,_,_,_,_,_,PREFLOP,99940.0,50,player_1,CHECK,0,2,-20.0
10,6,0,7,d,7,c,_,_,_,_,_,_,_,_,_,_,PREFLOP,99940.0,71189.50899831462,player_1,FOLD,71139.50899831462,1,-20.0
11,7,0,7,c,A,h,_,_,_,_,_,_,_,_,_,_,PREFLOP,68998.83633653306,30961.163663466945,player_1,CALL,30911.163663466945,2,-98750.81056201374
12,7,0,7,c,A,h,9,c,8,s,A,s,_,_,_,_,FLOP,37279.714759915514,93571.44890355144,player_1,RAISE,31699.12157661755,2,-98750.81056201374
13,7,0,7,c,A,h,9,c,8,s,A,s,_,_,_,_,FLOP,1854.997647841221,160715.2875922433,player_1,CALL,35424.71711207429,2,-98750.81056201374
14,7,0,7,c,A,h,9,c,8,s,A,s,4,d,_,_,TURN,1189.1894379862615,196785.81291417254,player_1,RAISE,645.8082098549595,2,-98750.81056201374
15,7,0,7,c,A,h,9,c,8,s,A,s,4,d,_,_,TURN,1189.1894379862615,198456.78779512615,player_1,FOLD,1005.1666710986484,1,-98750.81056201374
16,8,0,2,d,K,s,_,_,_,_,_,_,_,_,_,_,PREFLOP,1149.1894379862615,50,player_1,RAISE,0,2,30.0
17,9,0,6,s,Q,s,_,_,_,_,_,_,_,_,_,_,PREFLOP,1189.1894379862615,131510.6684971237,player_1,FOLD,131460.6684971237,1,-30.0
18,10,0,7,c,J,s,_,_,_,_,_,_,_,_,_,_,PREFLOP,1169.1894379862615,50,player_1,CHECK,0,2,30.0
19,10,0,7,c,J,s,9,c,A,c,9,d,_,_,_,_,FLOP,1169.1894379862615,50,player_1,CHECK,0,2,30.0
20,10,0,7,c,J,s,9,c,A,c,9,d,T,s,_,_,TURN,1169.1894379862615,50,player_1,CHECK,0,2,30.0
21,10,0,7,c,J,s,9,c,A,c,9,d,T,s,6,s,RIVER,1149.1894379862615,50,player_1,RAISE,0,2,30.0
22,11,0,J,s,Q,d,_,_,_,_,_,_,_,_,_,_,PREFLOP,1189.1894379862615,50,player_1,CHECK,0,2,10.0
23,11,0,J,s,Q,d,6,s,4,h,Q,c,_,_,_,_,FLOP,1169.1894379862615,50,player_1,RAISE,0,2,10.0
24,12,0,2,h,T,s,_,_,_,_,_,_,_,_,_,_,PREFLOP,1209.1894379862615,50,player_1,CHECK,0,2,30.0
25,12,0,2,h,T,s,6,c,9,h,3,h,_,_,_,_,FLOP,1209.1894379862615,50,player_1,CHECK,0,2,30.0
26,12,0,2,h,T,s,6,c,9,h,3,h,7,s,_,_,TURN,1189.1894379862615,50,player_1,RAISE,0,2,30.0
27,13,0,Q,h,Q,d,_,_,_,_,_,_,_,_,_,_,PREFLOP,0.0,158747.93072136526,player_1,CALL,158697.93072136526,2,1219.1894379862615
28,13,0,Q,h,Q,d,4,h,9,h,J,s,_,_,_,_,FLOP,0.0,166762.26974685426,player_1,ALL_IN,6785.149587502732,2,1219.1894379862615
29,13,0,Q,h,Q,d,4,h,9,h,J,s,5,s,_,_,TURN,0.0,196614.0564132731,player_1,ALL_IN,29851.786666418833,2,1219.1894379862615
30,13,0,Q,h,Q,d,4,h,9,h,J,s,5,s,9,c,RIVER,0.0,198918.54971380855,player_1,ALL_IN,2304.493300535445,2,1219.1894379862615
31,14,0,5,h,8,d,_,_,_,_,_,_,_,_,_,_,PREFLOP,2458.378875972523,50,player_1,CHECK,0,2,30.0
32,14,0,5,h,8,d,6,d,9,c,6,s,_,_,_,_,FLOP,2438.378875972523,50,player_1,RAISE,0,2,30.0
33,15,0,T,s,Q,c,_,_,_,_,_,_,_,_,_,_,PREFLOP,2478.378875972523,50,player_1,CHECK,0,2,-10.0
34,15,0,T,s,Q,c,T,d,9,d,7,h,_,_,_,_,FLOP,2478.378875972523,50,player_1,CHECK,0,2,-10.0
35,15,0,T,s,Q,c,T,d,9,d,7,h,6,h,_,_,TURN,2478.378875972523,50,player_1,CHECK,0,2,-10.0
36,15,0,T,s,Q,c,T,d,9,d,7,h,6,h,3,s,RIVER,2478.378875972523,50,player_1,CHECK,0,2,-10.0
