,hand_idx,pos_idx,hand_num_1,hand_suit_1,hand_num_2,hand_suit_2,board_num_1,board_suit_1,board_num_2,board_suit_2,board_num_3,board_suit_3,board_num_4,board_suit_4,board_num_5,board_suit_5,stage,current_stack,pot,action_type,action_value,current_bet,num_active_players,net_stack
0,0,1,4,d,9,h,_,_,_,_,_,_,_,_,_,_,PREFLOP,70588.67067067997,50,rl_bot,RAISE,0,2,20.0
1,1,1,3,s,J,h,_,_,_,_,_,_,_,_,_,_,PREFLOP,100000.0,50,rl_bot,CHECK,0,2,-10.0
2,1,1,3,s,J,h,_,_,_,_,_,_,_,_,_,_,PREFLOP,100000.0,70,rl_bot,FOLD,20,1,-10.0
3,2,1,T,c,J,s,_,_,_,_,_,_,_,_,_,_,PREFLOP,9460.3760697564,70,rl_bot,RAISE,20,2,40.0
4,3,1,T,d,T,c,_,_,_,_,_,_,_,_,_,_,PREFLOP,58343.334341473725,50,rl_bot,RAISE,0,2,30.0
5,4,1,2,d,4,s,_,_,_,_,_,_,_,_,_,_,PREFLOP,100050.0,50,rl_bot,CHECK,0,2,-30.0
6,4,1,2,d,4,s,9,h,J,d,7,c,_,_,_,_,FLOP,100050.0,70,rl_bot,FOLD,20,1,-30.0
7,5,1,5,d,6,c,_,_,_,_,_,_,_,_,_,_,PREFLOP,100030.0,50,rl_bot,CHECK,0,2,-10.0
8,5,1,5,d,6,c,_,_,_,_,_,_,_,_,_,_,PREFLOP,100030.0,70,rl_bot,FOLD,20,1,-10.0
9,6,1,J,c,Q,c,_,_,_,_,_,_,_,_,_,_,PREFLOP,28870.491001685383,50,rl_bot,RAISE,0,2,20.0
10,7,1,6,s,9,s,_,_,_,_,_,_,_,_,_,_,PREFLOP,69128.83633653306,50,rl_bot,RAISE,0,2,98750.81056201376
11,7,1,6,s,9,s,9,c,8,s,A,s,_,_,_,_,FLOP,37429.714759915514,61872.32732693389,rl_bot,RAISE,0,2,98750.81056201376
12,7,1,6,s,9,s,9,c,8,s,A,s,_,_,_,_,FLOP,2004.997647841221,125290.57048016899,rl_bot,RAISE,31719.12157661755,2,98750.81056201376
13,7,1,6,s,9,s,9,c,8,s,A,s,4,d,_,_,TURN,1359.1894379862615,196140.00470431757,rl_bot,RAISE,0,2,98750.81056201376
14,7,1,6,s,9,s,9,c,8,s,A,s,4,d,_,_,TURN,354.0227668876131,197451.6211240275,rl_bot,RAISE,665.8082098549595,2,98750.81056201376
15,8,1,5,s,9,s,_,_,_,_,_,_,_,_,_,_,PREFLOP,198780.81056201376,70,rl_bot,FOLD,20,1,-30.0
16,9,1,4,c,A,c,_,_,_,_,_,_,_,_,_,_,PREFLOP,67300.14206489007,50,rl_bot,RAISE,0,2,30.0
17,10,1,3,s,4,s,_,_,_,_,_,_,_,_,_,_,PREFLOP,198780.81056201376,50,rl_bot,CHECK,0,2,-30.0
18,10,1,3,s,4,s,9,c,A,c,9,d,_,_,_,_,FLOP,198780.81056201376,50,rl_bot,CHECK,0,2,-30.0
19,10,1,3,s,4,s,9,c,A,c,9,d,T,s,_,_,TURN,198780.81056201376,50,rl_bot,CHECK,0,2,-30.0
20,10,1,3,s,4,s,9,c,A,c,9,d,T,s,6,s,RIVER,198780.81056201376,70,rl_bot,FOLD,20,1,-30.0
21,11,1,5,s,8,d,_,_,_,_,_,_,_,_,_,_,PREFLOP,198760.81056201376,50,rl_bot,CHECK,0,2,-10.0
22,11,1,5,s,8,d,6,s,4,h,Q,c,_,_,_,_,FLOP,198760.81056201376,50,rl_bot,CHECK,0,2,-10.0
23,11,1,5,s,8,d,6,s,4,h,Q,c,_,_,_,_,FLOP,198760.81056201376,70,rl_bot,FOLD,20,1,-10.0
24,12,1,4,d,8,h,_,_,_,_,_,_,_,_,_,_,PREFLOP,198740.81056201376,50,rl_bot,CHECK,0,2,-30.0
25,12,1,4,d,8,h,6,c,9,h,3,h,_,_,_,_,FLOP,198740.81056201376,50,rl_bot,CHECK,0,2,-30.0
26,12,1,4,d,8,h,6,c,9,h,3,h,7,s,_,_,TURN,198740.81056201376,70,rl_bot,FOLD,20,1,-30.0
27,13,1,6,d,K,c,_,_,_,_,_,_,_,_,_,_,PREFLOP,40022.8798406485,50,rl_bot,RAISE,0,2,-1219.1894379862642
28,13,1,6,d,K,c,4,h,9,h,J,s,_,_,_,_,FLOP,33237.73025314577,159977.12015935153,rl_bot,RAISE,0,2,-1219.1894379862642
29,13,1,6,d,K,c,4,h,9,h,J,s,5,s,_,_,TURN,3385.943586726935,166762.26974685426,rl_bot,RAISE,0,2,-1219.1894379862642
